ref,company_manufacturer,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,ingredients,most_memorable_characteristics,rating
48,Bonnat,France,2006,Venezuela,"Maracaibo, El Rosario",75%,"3- B,S,C",creamy,4
56,Felchlin,Switzerland,2006,Bolivia,"Alto Beni, Cru Savage",68%,"5- B,S,C,V,L",complex,4
81,Bonnat,France,2006,Venezuela,Chuao,75%,"3- B,S,C",creamy,4
81,Pierre Marcolini,Belgium,2006,Mexico,"Porcelana, Tabasco,  Limited Ed.",72%,"5- B,S,C,V,L",mild ,4
111,Domori,Italy,2007,Venezuela,Porcelana,70%,"2- B,S",creamy,4
111,Pierre Marcolini,Belgium,2007,Blend,"Cabosse, Venezuela, Java",70%,"5- B,S,C,V,L",rich cocoa,4
129,Valrhona,France,2007,Madagascar,Manjari,64%,"5- B,S,C,V,L",creamy,4
141,Pierre Marcolini,Belgium,2007,Madagascar,"Sambirano, Ambanja, Madagascar",72%,"5- B,S,C,V,L",tangy,4
162,Pralus,France,2007,Sao Tome,Claudio Corallo w/ nibs,75%,"4- B,S,C,L",large nibs,4
192,Domori,Italy,2007,Ecuador,Ecuador,70%,"2- B,S",creamy,4
192,Domori,Italy,2007,Venezuela,"Ocumare 67, Puertofino",70%,"2- B,S",creamy,4
196,Patric,U.S.A.,2007,Madagascar,Madagascar,70%,"3- B,S,C",mild,4
199,Bonnat,France,2008,Venezuela,"Porcelana, Venezuela",75%,"3- B,S,C",creamy,4
284,Madecasse (Cinagra),Madagascar,2008,Madagascar,Madagascar,63%,"5- B,S,C,V,L",intense,4
331,Patric,U.S.A.,2009,Madagascar,Madagascar,75%,"3- B,S,C",berry,4
336,Cacao Sampaka,Spain,2009,Mexico,"Porcelana, Tabasco,  La Joya",70%,"4- B,S,C,L",distinct ,4
336,Scharffen Berger,U.S.A.,2009,Ghana,Asante,65%,"5- B,S,C,V,L",simple,4
346,Cacao Sampaka,Spain,2009,Mexico,"Xoconusco, Chiapas, cacao Real",70%,"4- B,S,C,L",creamy,4
470,Amano,U.S.A.,2010,Ecuador,Guayas,70%,"4- B,S,C,V",strong spice,4
523,Cacao Sampaka,Spain,2010,Papua New Guinea,Papua,71%,"4- B,S,C,L",creamy,4
572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",60%,"4- B,S,C,L",creamy,4
629,Bonnat,France,2011,Haiti,Haiti,75%,"3- B,S,C",grassy,4
629,Bonnat,France,2011,Madagascar,"Madagascar, 100% criollo",75%,"3- B,S,C",oily,4
636,Beschle (Felchlin),Switzerland,2011,Ecuador,Ecuador,72%,"3- B,S,C",creamy,4
676,Soma,Canada,2011,Blend,"Three Amigos(Chuao, Wild Bolivia, D.R.)",70%,"3- B,S,C",berry,4
676,Soma,Canada,2011,Peru,Peruvian,64%,"3- B,S,C",complex,4
725,Amano,U.S.A.,2011,Papua New Guinea,Morobe,70%,"4- B,S,C,V",tart,4
729,Artisan du Chocolat,U.K.,2011,Haiti,Haiti,72%,"3- B,S,C",nutty,4
733,Idilio (Felchlin),Switzerland,2011,Venezuela,"Porcelana, Zulia",74%,"3- B,S,C",creamy,4
737,Idilio (Felchlin),Switzerland,2011,Venezuela,"Carenero Superior, Urrutia, Barlovento",70%,"3- B,S,C",creamy,4
737,Idilio (Felchlin),Switzerland,2011,Venezuela,"Sur del Lago, Amiari Meridena, Zulia, w/ nibs",72%,"3- B,S,C",creamy,4
737,Idilio (Felchlin),Switzerland,2011,Venezuela,Coopertiva Amazona w/ nibs,72%,"3- B,S,C",peanut,4
741,Woodblock,U.S.A.,2011,Venezuela,Ocumare,70%,"2- B,S",nutty,4
745,Fresco,U.S.A.,2011,Venezuela,"Chuao, #217, DR, MC, batch 11-021",70%,"3- B,S,C",tart,4
757,Valrhona,France,2011,Venezuela,"Porcelana, Pedegral",64%,"5- B,S,C,V,L",creamy,4
757,Benoit Nihant,Belgium,2011,Indonesia,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",72%,"3- B,S,C",smokey,4
863,Pacari,Ecuador,2012,Peru,Piura,70%,"4- B,S,C,L",light color,4
867,Soma,Canada,2012,Blend,"Dual Origins, Sambirano, Elvesia, batch SD06",70%,"3- B,S,C",creamy,4
867,Soma,Canada,2012,Blend,"Dancing in Your Head, 5 bean blend",70%,"3- B,S,C",creamy,4
891,Ritual,U.S.A.,2012,Madagascar,"Sambirano, 2011 harvest, batch 1",75%,"2- B,S",berry,4
891,L.A. Burdick (Felchlin),U.S.A.,2012,Brazil,Brazil,70%,"5- B,S,C,V,L",creamy,4
915,Fresco,U.S.A.,2012,Madagascar,"Sambirano Valley, #216, MR, LC",74%,"3- B,S,C",caramel,4
927,Fresco,U.S.A.,2012,Papua New Guinea,"Markham Valley, #220, MR, MC",69%,"2- B,S",tart,4
931,Valrhona,France,2012,Venezuela,"Otucan, Grand Cru",69%,"5- B,S,C,V,L",green,4
